temp,humidity,conditions
28.3,72,Partially cloudy
28.6,75.5,Partially cloudy
29.3,75.6,"Rain, Partially cloudy"
29.5,72.2,Partially cloudy
29.1,74.1,"Rain, Partially cloudy"
28.5,77.7,Partially cloudy
28.6,79.8,Partially cloudy
28,80.5,Partially cloudy
28.1,77.2,"Rain, Partially cloudy"
27.4,76.6,"Rain, Partially cloudy"
26.6,77.1,"Rain, Partially cloudy"
26.1,75.4,"Rain, Partially cloudy"
26.8,70.2,Partially cloudy
27.1,70.9,"Rain, Partially cloudy"
26.5,79.8,"Rain, Partially cloudy"
26,83,"Rain, Partially cloudy"
24.5,87.6,"Rain, Overcast"
26.1,75.1,"Rain, Partially cloudy"
